screening_score,recommendation_rank,skill_overlap,gap_ratio,nice_skill_overlap,has_cv,cover_letter_words,has_phone,seniority_tier,required_skill_count,nice_skill_count,location_signal,was_shortlisted,reached_interview,days_to_offer,days_to_respond,interview_rounds,interview_format_video,interview_format_phone,interview_format_inperson,label_hired,label_accepted
63,3,0.75,0.25,0.25,1,182,1,2,6,2.0,1,1,1,58,11,5,0,1,0,1,0
75,4,0.5,0.5,1.0,1,117,1,2,7,2.0,1,1,1,76,14,1,1,0,0,1,1
65,3,0.5,0.5,0.5,1,160,1,1,7,4.0,1,1,0,20,4,5,1,0,0,1,0
71,3,0.75,0.25,0.75,1,266,1,1,5,2.0,1,1,0,59,8,1,1,0,0,1,1
53,3,0.75,0.25,1.0,1,117,1,1,6,1.0,1,1,0,29,8,5,0,0,1,1,1
58,3,0.75,0.25,0.75,1,178,1,1,3,2.0,1,1,0,56,11,1,1,0,0,1,1
84,4,1.0,0.0,0.25,1,291,1,1,5,2.0,1,1,0,33,9,4,0,1,0,1,1
77,4,0.75,0.25,0.5,1,98,1,1,5,2.0,0,1,0,27,12,1,1,0,0,1,1
84,4,0.5,0.5,0.5,1,214,1,3,6,1.0,0,1,1,69,12,1,0,0,1,1,1
63,3,0.75,0.25,0.5,1,266,1,2,8,1.0,0,1,1,61,2,5,0,0,1,1,1
68,3,1.0,0.0,0.75,1,267,1,1,8,2.0,0,1,0,39,5,1,0,0,1,1,1
65,3,0.5,0.5,1.0,1,168,1,2,5,2.0,0,1,1,69,10,1,1,0,0,1,1
59,3,0.75,0.25,1.0,1,122,1,1,6,1.0,0,1,0,44,8,1,0,0,1,1,1
66,3,0.75,0.25,0.75,1,185,1,1,3,2.0,0,1,0,17,7,1,1,0,0,1,1
67,3,0.5,0.5,0.5,1,232,1,1,5,2.0,0,1,0,29,3,5,1,0,0,1,0
66,3,1.0,0.0,0.75,1,308,1,3,7,1.0,0,1,1,65,9,1,1,0,0,1,1
63,3,1.0,0.0,1.0,1,213,1,1,7,2.0,1,1,0,53,11,1,0,0,1,1,1
59,3,1.0,0.0,0.5,1,179,1,1,8,2.0,0,1,0,26,1,1,1,0,0,1,1
71,3,0.5,0.5,0.75,1,285,1,4,5,1.0,1,1,1,121,9,2,1,0,0,1,1
65,3,0.75,0.25,0.75,1,243,1,1,8,4.0,1,1,0,45,13,5,1,0,0,1,1
62,3,1.0,0.0,1.0,1,191,1,2,8,1.0,0,1,1,34,9,1,1,0,0,1,1
85,4,0.5,0.5,0.5,1,280,1,1,6,3.0,1,1,0,45,14,5,0,1,0,1,0
72,3,0.75,0.25,0.75,1,291,1,3,3,3.0,1,1,1,82,5,1,1,0,0,1,1
62,3,0.75,0.25,1.0,1,164,1,1,5,4.0,0,1,0,16,1,1,0,0,1,1,1
58,3,0.75,0.25,0.75,1,115,1,1,7,3.0,1,1,0,40,10,2,0,1,0,1,0
64,3,0.75,0.25,1.0,1,223,1,4,6,3.0,1,1,1,82,3,4,1,0,0,1,1
80,4,0.25,0.75,0.5,1,85,1,1,8,4.0,0,1,0,77,1,1,0,1,0,1,0
69,3,0.75,0.25,1.0,1,283,1,2,7,4.0,1,1,1,62,3,1,0,1,0,1,1
69,3,0.5,0.5,1.0,1,291,1,3,3,1.0,1,1,1,130,14,3,0,0,1,1,1
70,3,0.75,0.25,1.0,1,282,1,4,8,4.0,1,1,1,30,11,3,1,0,0,1,1
72,3,0.75,0.25,1.0,1,232,1,1,5,2.0,1,1,0,30,4,4,1,0,0,1,1
67,3,0.75,0.25,1.0,1,291,1,2,7,1.0,1,1,1,40,9,2,1,0,0,1,1
61,3,0.5,0.5,0.25,1,180,1,1,6,3.0,1,1,0,70,5,1,0,0,1,1,1
63,3,0.75,0.25,0.75,1,245,1,2,5,4.0,1,1,1,22,3,3,1,0,0,1,0
67,3,0.75,0.25,0.25,1,237,1,1,3,1.0,1,1,0,31,14,2,0,0,1,1,0
66,3,1.0,0.0,1.0,1,207,1,1,3,1.0,1,1,0,47,12,1,1,0,0,1,1
62,3,0.5,0.5,0.75,1,128,1,1,6,4.0,1,1,0,31,6,1,0,1,0,1,0
63,3,0.75,0.25,0.25,1,239,1,1,6,3.0,1,1,0,29,5,1,1,0,0,1,1
66,3,0.5,0.5,1.0,1,310,1,1,6,1.0,1,1,0,22,12,5,0,1,0,1,1
67,3,1.0,0.0,0.25,1,262,1,2,3,4.0,1,1,1,56,7,2,1,0,0,1,1
64,3,0.75,0.25,0.75,1,181,1,1,6,2.0,1,1,0,25,6,1,1,0,0,1,1
70,3,0.75,0.25,1.0,1,308,1,1,3,2.0,1,1,0,33,6,1,0,0,1,1,1
63,3,0.25,0.75,0.75,1,213,1,1,3,2.0,0,1,0,24,7,1,0,0,1,1,0
66,3,0.75,0.25,1.0,1,210,1,3,5,3.0,1,1,1,66,8,1,0,0,1,1,1
81,4,0.75,0.25,1.0,1,155,1,2,6,1.0,1,1,1,73,1,1,0,1,0,1,1
66,3,0.75,0.25,1.0,1,243,1,4,6,2.0,0,1,1,118,7,1,0,0,1,1,0
90,4,0.75,0.25,0.75,1,289,1,2,8,2.0,0,1,1,66,7,1,0,0,1,1,1
82,4,0.75,0.25,0.25,1,200,1,1,8,1.0,0,1,0,33,4,4,1,0,0,1,1
89,4,0.75,0.25,0.75,1,295,1,2,5,4.0,1,1,1,66,5,4,1,0,0,1,1
59,3,1.0,0.0,1.0,1,111,1,1,7,1.0,1,1,0,32,6,1,0,0,1,1,1
63,3,0.5,0.5,1.0,1,141,1,3,3,4.0,1,1,1,28,6,5,0,1,0,1,0
70,3,0.75,0.25,0.75,1,259,1,1,8,1.0,1,1,0,38,13,1,1,0,0,1,0
